103.1.70.66; 103.1.70.66; /beginner/droidsev3.pptx; 11/Oct/2014:06:56:20;  103.1.70.66;   5.2999,100.2605;   Bayan Lepas;   Pulau Pinang
c-24-218-177-142.hsd1.ma.comcast.net; 24.218.177.142; /beginner/EV3robot.pdf; 12/Oct/2014:00:15:23;  c-24-218-177-142.hsd1.ma.comcast.net;   42.4853,-71.4418;   Acton;   Massachusetts
c-24-218-177-142.hsd1.ma.comcast.net; 24.218.177.142; /beginner/EV3robot.pdf; 12/Oct/2014:00:15:24;  c-24-218-177-142.hsd1.ma.comcast.net;   42.4853,-71.4418;   Acton;   Massachusetts
c-24-218-177-142.hsd1.ma.comcast.net; 24.218.177.142; /beginner/EV3robot.pdf; 12/Oct/2014:00:15:24;  c-24-218-177-142.hsd1.ma.comcast.net;   42.4853,-71.4418;   Acton;   Massachusetts
c-24-218-177-142.hsd1.ma.comcast.net; 24.218.177.142; /intermediate/debug/debuggingtechniques.pptx; 12/Oct/2014:00:15:34;  c-24-218-177-142.hsd1.ma.comcast.net;   42.4853,-71.4418;   Acton;   Massachusetts
c-24-218-177-142.hsd1.ma.comcast.net; 24.218.177.142; /advanced/Calibrate/calibrate.ev3; 12/Oct/2014:00:16:18;  c-24-218-177-142.hsd1.ma.comcast.net;   42.4853,-71.4418;   Acton;   Massachusetts
c-24-218-177-142.hsd1.ma.comcast.net; 24.218.177.142; /advanced/LineFollower/linefollower.ev3; 12/Oct/2014:00:17:08;  c-24-218-177-142.hsd1.ma.comcast.net;   42.4853,-71.4418;   Acton;   Massachusetts
c-67-183-200-71.hsd1.wa.comcast.net; 67.183.200.71; /advanced/LineFollower/linefollower.ev3; 12/Oct/2014:00:27:29;  c-67-183-200-71.hsd1.wa.comcast.net;   47.1032,-122.8649;   Olympia;   Washington
c-67-183-200-71.hsd1.wa.comcast.net; 67.183.200.71; /advanced/alignsquaring/align.ev3; 12/Oct/2014:00:27:49;  c-67-183-200-71.hsd1.wa.comcast.net;   47.1032,-122.8649;   Olympia;   Washington
c-67-183-200-71.hsd1.wa.comcast.net; 67.183.200.71; /advanced/alignsquaring/aligningsquaring.pptx; 12/Oct/2014:00:27:52;  c-67-183-200-71.hsd1.wa.comcast.net;   47.1032,-122.8649;   Olympia;   Washington
c-67-183-200-71.hsd1.wa.comcast.net; 67.183.200.71; /advanced/LineFollower/linefollowing.pptx; 12/Oct/2014:00:27:33;  c-67-183-200-71.hsd1.wa.comcast.net;   47.1032,-122.8649;   Olympia;   Washington
c-67-183-200-71.hsd1.wa.comcast.net; 67.183.200.71; /advanced/Calibrate/calibration.pptx; 12/Oct/2014:00:40:31;  c-67-183-200-71.hsd1.wa.comcast.net;   47.1032,-122.8649;   Olympia;   Washington
c-67-183-200-71.hsd1.wa.comcast.net; 67.183.200.71; /advanced/MyBlockLessons.pptx; 12/Oct/2014:00:40:40;  c-67-183-200-71.hsd1.wa.comcast.net;   47.1032,-122.8649;   Olympia;   Washington
wireless_broadband_router; 98.111.220.189; /beginner/ev3worksheets.docx; 12/Oct/2014:02:02:15;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
wireless_broadband_router; 98.111.220.189; /beginner/EV3robot.pdf; 12/Oct/2014:02:02:48;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
wireless_broadband_router; 98.111.220.189; /beginner/EV3robot.pdf; 12/Oct/2014:02:02:48;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
wireless_broadband_router; 98.111.220.189; /beginner/EV3robot.pdf; 12/Oct/2014:02:02:48;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
wireless_broadband_router; 98.111.220.189; /beginner/EV3robot.pdf; 12/Oct/2014:02:02:48;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
wireless_broadband_router; 98.111.220.189; /beginner/EV3robot.pdf; 12/Oct/2014:02:02:48;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
wireless_broadband_router; 98.111.220.189; /beginner/EV3robot.pdf; 12/Oct/2014:02:02:48;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
wireless_broadband_router; 98.111.220.189; /beginner/EV3robot.pdf; 12/Oct/2014:02:02:49;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
wireless_broadband_router; 98.111.220.189; /beginner/EV3robot.pdf; 12/Oct/2014:02:02:49;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
wireless_broadband_router; 98.111.220.189; /beginner/EV3robot.pdf; 12/Oct/2014:02:02:49;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
wireless_broadband_router; 98.111.220.189; /beginner/EV3robot.pdf; 12/Oct/2014:02:02:49;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
wireless_broadband_router; 98.111.220.189; /beginner/EV3robot.pdf; 12/Oct/2014:02:02:49;  wireless_broadband_router;   40.5048,-79.9132;   Pittsburgh;   Pennsylvania
